Banna,Banna virus,Seadornavirus,Reoviridae,BAV,09/06/1905,dsRNA,non-enveloped,tbc,20682,mosquito-borne-virus,Culex vishnui,tbc,febrile illness,Yes,unk,unk,unk,unk,?,tbc,unk,yes,unk,unk,tbc,3
Banzi ,Banzi virus,Flavivirus,Flaviviridae,BANV,28/03/1956,ssRNA(+),enveloped,tbc,10182,mosquito-borne-virus,Culex rubinotus,tbc,febrile illness,unk,unk,unk,2,sporadic,"South Africa, Tanzania, Kenya, Zimbabwe, Mozambique ",tbc,yes,unk,7,6,tbc,2
Barcarena,unclassified orbivirus,Orbivirus,Reoviridae,-,18/06/1991,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Barmah Forest ,Barmah Forest virus,Alphavirus,Togaviridae,BFV,11/02/1974,ssRNA(+),enveloped,tbc,11488,mosquito-borne-virus,Culex annulirostris,tbc,febrile illness,unk,unk,unk,3,sporadic,Australia,tbc,yes,yes,unk,5,tbc,2
Barranqueras ,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BQSV,09/04/1980,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Culex delpontei,tbc,unk,unk,unk,unk,unk,unk,Argentina,tbc,yes,unk,unk,5,tbc,2
Barrita,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BITV,29/06/1905,ssRNA(-),enveloped,tbc,?,mosquito-borne-virus,Psorophora varipes,tbc,unk,unk,unk,unk,unk,unk,?,tbc,?,?,?,?,tbc,unk
Barur ,Barur ledantevirus,Ledantevirus,Rhabdoviridae,BARV,02/01/1962,ssRNA(-),enveloped,tbc,10853,tick-borne-virus,Rhipicephalus pulchellus,tbc,unk,unk,unk,unk,unk,unk,"India, Kenya, Somalia",tbc,yes,yes,unk,6-7,tbc,1-1
"Bas-Congo  ",Bas Congo tibrovirus,Tibrovirus,Rhabdoviridae,BASV,01/05/2009,ssRNA(-),enveloped,tbc,11892,unk,unk,tbc,hemorrhagic fever,yes,unk,unk,3,sporadic,Congo,tbc,?,?,?,?,tbc,unk
Batai ,Batai orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BATV,26/12/1955,ssRNA(-),enveloped,tbc,12270,mosquito-borne-virus,Culex spp.,tbc,unk,unk,unk,unk,unk,unk,"Malaysia,India, Thailand, Czech Republic, Slovakia, Ukraine, Russia, Cambodia",tbc,yes,unk,unk,2,tbc,2
Batama ,Batama orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BMAV,28/08/1970,ssRNA(-),enveloped,tbc,1022,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Central African Republic,tbc,unk,unk,unk,unk,tbc,3
